symbol,t_score
ARIGATO,50
ARIHANT,100
ARIHANTACA,0
ARIHANTCAP,62
ARIHANTINS,
ARIHANTSUP,50
ARISE,38
ARISINT,75
ARISTO,50
ARL,50
ARMAN,12
ARMANFIN,62
ARNOLD,100
AROGRANITE,62
AROMAENT,75
ARROWGREEN,50
ARROWHEAD,
ARSHIYA,0
ARSSINFRA,50
ARTEDZ,
ARTEFACT,12
ARTEMISMED,38
ARTNIRMAN,50
ARTSONEN,62
ARUNAHTEL,12
ARUNIS,50
ARVEE,25
ARVIND,62
ARVINDFASN,100
ARVSMART,62
ARYACAPM,
ARYAMAN,100
ARYAN,25
ARYAVAN,75
ASAHIIND,
ASAHIINDIA,100
ASAHINFRA,
ASAHISONG,75
ASAL,75
ASALCBR,75
ASARFI,
ASCENSIVE,75
ASCOM,
ASEEMG,
ASHAI,100
ASHAPURMIN,62
ASHARI,
ASHCAP,62
ASHIANA,75
ASHIKA,88
ASHIMASYN,75
ASHIS,50
ASHISHPO,100
ASHNI,0
ASHNOOR,25
ASHOKA,75
ASHOKAMET,50
ASHOKLEY,100
ASHOKRE,75
ASHRAM,62
ASHSI,12
ASHUTPM,75
ASIACAP,-1
ASIAN,17
ASIANBRG,
ASIANENE,88
ASIANFR,
ASIANHOTNR,12
ASIANPAINT,38
ASIANTILES,62
ASIANTNE,62
ASIANVE,
ASIAPAK,62
ASIIL,38
ASIL,
ASINPET,25
ASISL,
ASITCFIN,38
ASKAUTOLTD,67
ASLIND,
ASMS,0
ASMTEC,75
ASPINWALL,50
ASPIRA,0
ASPIRE,100
ASRL,0
ASSAMENT,0
ASSOCER,
ASSOCIATED,
ASTALLTD,75
ASTAR,12
ASTEC,62
ASTERDM,12
ASTRAL,75
ASTRAMICRO,75
ASTRAZEN,62
ASTRON,0
ASUTENT,
ASYAINFO,
ASYL,25
ATALREAL,12
ATAM,38
ATCOM,
ATFL,25
ATGL,25
ATHARVENT,50
ATHCON,
ATHENAGLO,62
ATISHAY,100
ATL,8
ATLANTAA,100
ATLANTADEV,
ATLASCYCLE,
ATMASTCO,0
ATNINTER,
ATUL,62
ATULAUTO,38
ATVPR,75
AUBANK,88
AURDIS,37.5
AURIONPRO,75
AUROCOK,
AUROIMPEX,0
AUROLAB,12
AUROPHARMA,62
AURUM,25
AUSOMENT,25
AUSTENG,88
AUSTRAL,
AUTOAXLES,50
AUTOIND,38
AUTOINT,-1
AUTOPAL,
AUTOPINS,62
AUTOPRD,
AUTUMN,
AVADHSUGAR,50
AVAILFC,88
AVALON,75
AVANCE,38
AVANTEL,75
AVANTIFEED,75
AVASARA,75
AVEER,12
AVG,25
AVI,50
AVIVA,12
AVL,100
AVONMERC,
AVONMORE,75
AVPINFRA,66.67
AVROIND,0
AVSL,
AVTNPL,25
AWFIS,-1
AWHCL,50
AWL,12
AXELPOLY,75
AXISBANK,75
AXISCADES,12
AXITA,12
AXTEL,0
AYMSYNTEX,75
AYOME,-1
AZAD,67
AZTEC,
B2BSOFT,0
BABA,12
BABAFP,0
BACPHAR,50
BAFEG,
BAFNAPH,0
BAGFILMS,38
BAHETI,75
BAIDFIN,0
BAJAJ-AUTO,75
BAJAJCON,75
BAJAJELEC,100
BAJAJFINSV,50
BAJAJHCARE,50
BAJAJHIND,75
BAJAJHLDNG,75
BAJAJST,62
BAJEL,67
BAJFINANCE,50
BAJGLOB,
BALAJITELE,12
BALAMINES,62
BALASORE,
BALAXI,25
BALGOPAL,88
BALKRISHNA,62
BALKRISIND,75
BALLARPUR,
BALMLAWRIE,88
BALPHARMA,62
BALRAMCHIN,75
BALTE,12
BALUFORGE,67
BAMBINO,38
BAMPSL,38
BANARBEADS,62
BANARISUG,100
BANASFN,0
BANCOINDIA,62
BANDARAM,67
BANDHANBNK,38
BANG,38
BANKA,0
BANKBARODA,75
BANKINDIA,12
BANSAL,
BANSTEA,17
BANSWRAS,62
BAPACK,100
BARBEQUE,38
BARODARY,0
BAROEXT,62
BARONINF,75
BASANTGL,50
BASF,100
BASILIC,0
BASML,62
BATAINDIA,50
BATLIBOI,38
BAWEJA,0
BAYERCROP,100
BAZELINTER,50
BBL,75
BBOX,62
